agent_type,subject_ID,modelrun_ID,game_name,game_level,episode_number,event_name,count
DDQN,NA,NA,avoidgeorge,0,0,"('cigarette', 'wall')",18
DDQN,NA,NA,avoidgeorge,0,0,"('annoyed', 'george')",31
DDQN,NA,NA,avoidgeorge,0,0,"('annoyed', 'avatar')",1
DDQN,NA,NA,avoidgeorge,0,0,"('avatar', 'wall')",9
DDQN,NA,NA,avoidgeorge,0,0,"('avatar', 'george')",1
DDQN,NA,NA,avoidgeorge,0,0,"('george', 'quiet')",4
DDQN,NA,NA,avoidgeorge,0,0,"('quiet', 'wall')",22
DDQN,NA,NA,avoidgeorge,0,0,"('cigarette', 'quiet')",4
DDQN,NA,NA,avoidgeorge,0,0,"('avatar', 'cigarette')",13
DDQN,NA,NA,avoidgeorge,0,0,"('avatar', 'quiet')",28
DDQN,NA,NA,avoidgeorge,0,1,"('annoyed', 'cigarette')",2
DDQN,NA,NA,avoidgeorge,0,1,"('cigarette', 'wall')",60
DDQN,NA,NA,avoidgeorge,0,1,"('annoyed', 'george')",90
DDQN,NA,NA,avoidgeorge,0,1,"('annoyed', 'wall')",15
DDQN,NA,NA,avoidgeorge,0,1,"('cigarette', 'george')",6
DDQN,NA,NA,avoidgeorge,0,1,"('annoyed', 'avatar')",6
DDQN,NA,NA,avoidgeorge,0,1,"('avatar', 'wall')",37
DDQN,NA,NA,avoidgeorge,0,1,"('avatar', 'george')",2
DDQN,NA,NA,avoidgeorge,0,1,"('george', 'quiet')",10
DDQN,NA,NA,avoidgeorge,0,1,"('quiet', 'wall')",39
DDQN,NA,NA,avoidgeorge,0,1,"('cigarette', 'quiet')",38
DDQN,NA,NA,avoidgeorge,0,1,"('avatar', 'cigarette')",33
DDQN,NA,NA,avoidgeorge,0,1,"('avatar', 'quiet')",81
DDQN,NA,NA,avoidgeorge,0,2,"('annoyed', 'cigarette')",3
DDQN,NA,NA,avoidgeorge,0,2,"('cigarette', 'wall')",66
DDQN,NA,NA,avoidgeorge,0,2,"('annoyed', 'george')",141
DDQN,NA,NA,avoidgeorge,0,2,"('annoyed', 'wall')",15
DDQN,NA,NA,avoidgeorge,0,2,"('cigarette', 'george')",6
DDQN,NA,NA,avoidgeorge,0,2,"('quiet', 'quiet')",5
DDQN,NA,NA,avoidgeorge,0,2,"('annoyed', 'avatar')",11
DDQN,NA,NA,avoidgeorge,0,2,"('avatar', 'wall')",41
DDQN,NA,NA,avoidgeorge,0,2,"('avatar', 'george')",3
DDQN,NA,NA,avoidgeorge,0,2,"('george', 'quiet')",13
DDQN,NA,NA,avoidgeorge,0,2,"('quiet', 'wall')",54
DDQN,NA,NA,avoidgeorge,0,2,"('cigarette', 'quiet')",48
DDQN,NA,NA,avoidgeorge,0,2,"('avatar', 'cigarette')",35
DDQN,NA,NA,avoidgeorge,0,2,"('avatar', 'quiet')",110
DDQN,NA,NA,avoidgeorge,0,2,"('annoyed', 'quiet')",7
DDQN,NA,NA,avoidgeorge,0,3,"('annoyed', 'cigarette')",3
DDQN,NA,NA,avoidgeorge,0,3,"('cigarette', 'wall')",102
DDQN,NA,NA,avoidgeorge,0,3,"('annoyed', 'george')",243
DDQN,NA,NA,avoidgeorge,0,3,"('annoyed', 'wall')",37
DDQN,NA,NA,avoidgeorge,0,3,"('cigarette', 'george')",6
DDQN,NA,NA,avoidgeorge,0,3,"('quiet', 'quiet')",5
DDQN,NA,NA,avoidgeorge,0,3,"('annoyed', 'avatar')",11
DDQN,NA,NA,avoidgeorge,0,3,"('avatar', 'wall')",68
DDQN,NA,NA,avoidgeorge,0,3,"('avatar', 'george')",4
DDQN,NA,NA,avoidgeorge,0,3,"('george', 'quiet')",19
DDQN,NA,NA,avoidgeorge,0,3,"('quiet', 'wall')",117
DDQN,NA,NA,avoidgeorge,0,3,"('cigarette', 'quiet')",57
DDQN,NA,NA,avoidgeorge,0,3,"('annoyed', 'annoyed')",57
DDQN,NA,NA,avoidgeorge,0,3,"('avatar', 'cigarette')",50
DDQN,NA,NA,avoidgeorge,0,3,"('avatar', 'quiet')",151
DDQN,NA,NA,avoidgeorge,0,3,"('annoyed', 'quiet')",7
DDQN,NA,NA,avoidgeorge,0,4,"('annoyed', 'cigarette')",3
DDQN,NA,NA,avoidgeorge,0,4,"('cigarette', 'wall')",108
DDQN,NA,NA,avoidgeorge,0,4,"('annoyed', 'george')",299
DDQN,NA,NA,avoidgeorge,0,4,"('annoyed', 'wall')",37
DDQN,NA,NA,avoidgeorge,0,4,"('cigarette', 'george')",6
DDQN,NA,NA,avoidgeorge,0,4,"('quiet', 'quiet')",15
DDQN,NA,NA,avoidgeorge,0,4,"('annoyed', 'avatar')",11
DDQN,NA,NA,avoidgeorge,0,4,"('avatar', 'wall')",85
DDQN,NA,NA,avoidgeorge,0,4,"('avatar', 'george')",5
DDQN,NA,NA,avoidgeorge,0,4,"('george', 'quiet')",23
DDQN,NA,NA,avoidgeorge,0,4,"('quiet', 'wall')",117
DDQN,NA,NA,avoidgeorge,0,4,"('cigarette', 'quiet')",60
DDQN,NA,NA,avoidgeorge,0,4,"('annoyed', 'annoyed')",67
DDQN,NA,NA,avoidgeorge,0,4,"('avatar', 'cigarette')",61
DDQN,NA,NA,avoidgeorge,0,4,"('avatar', 'quiet')",177
DDQN,NA,NA,avoidgeorge,0,4,"('annoyed', 'quiet')",10
DDQN,NA,NA,avoidgeorge,0,5,"('annoyed', 'cigarette')",3
DDQN,NA,NA,avoidgeorge,0,5,"('cigarette', 'wall')",138
DDQN,NA,NA,avoidgeorge,0,5,"('annoyed', 'george')",398
DDQN,NA,NA,avoidgeorge,0,5,"('annoyed', 'wall')",44
DDQN,NA,NA,avoidgeorge,0,5,"('cigarette', 'george')",6
DDQN,NA,NA,avoidgeorge,0,5,"('george', 'wall')",7
DDQN,NA,NA,avoidgeorge,0,5,"('quiet', 'quiet')",39
DDQN,NA,NA,avoidgeorge,0,5,"('annoyed', 'avatar')",12
DDQN,NA,NA,avoidgeorge,0,5,"('avatar', 'wall')",116
