agent_type,subject_ID,modelrun_ID,game_name,game_level,episode_number,event_name,count
DDQN,NA,NA,butterflies,0,0,"('butterfly', 'cocoon')",24
DDQN,NA,NA,butterflies,0,0,"('butterfly', 'butterfly')",315
DDQN,NA,NA,butterflies,0,0,"('butterfly', 'wall')",563
DDQN,NA,NA,butterflies,0,0,"('avatar', 'butterfly')",16
DDQN,NA,NA,butterflies,0,0,"('avatar', 'wall')",128
DDQN,NA,NA,butterflies,0,1,"('avatar', 'cocoon')",22
DDQN,NA,NA,butterflies,0,1,"('butterfly', 'butterfly')",937
DDQN,NA,NA,butterflies,0,1,"('avatar', 'butterfly')",33
DDQN,NA,NA,butterflies,0,1,"('butterfly', 'cocoon')",47
DDQN,NA,NA,butterflies,0,1,"('avatar', 'wall')",200
DDQN,NA,NA,butterflies,0,1,"('butterfly', 'wall')",1168
DDQN,NA,NA,butterflies,0,2,"('avatar', 'cocoon')",29
DDQN,NA,NA,butterflies,0,2,"('butterfly', 'butterfly')",1500
DDQN,NA,NA,butterflies,0,2,"('avatar', 'butterfly')",40
DDQN,NA,NA,butterflies,0,2,"('butterfly', 'cocoon')",70
DDQN,NA,NA,butterflies,0,2,"('avatar', 'wall')",256
DDQN,NA,NA,butterflies,0,2,"('butterfly', 'wall')",1706
DDQN,NA,NA,butterflies,0,3,"('avatar', 'cocoon')",29
DDQN,NA,NA,butterflies,0,3,"('butterfly', 'butterfly')",2324
DDQN,NA,NA,butterflies,0,3,"('avatar', 'butterfly')",68
DDQN,NA,NA,butterflies,0,3,"('butterfly', 'cocoon')",94
DDQN,NA,NA,butterflies,0,3,"('avatar', 'wall')",424
DDQN,NA,NA,butterflies,0,3,"('butterfly', 'wall')",2536
DDQN,NA,NA,butterflies,0,4,"('avatar', 'cocoon')",31
DDQN,NA,NA,butterflies,0,4,"('butterfly', 'butterfly')",3094
DDQN,NA,NA,butterflies,0,4,"('avatar', 'butterfly')",81
DDQN,NA,NA,butterflies,0,4,"('butterfly', 'cocoon')",116
DDQN,NA,NA,butterflies,0,4,"('avatar', 'wall')",503
DDQN,NA,NA,butterflies,0,4,"('butterfly', 'wall')",3270
DDQN,NA,NA,butterflies,0,5,"('avatar', 'cocoon')",387
DDQN,NA,NA,butterflies,0,5,"('butterfly', 'butterfly')",4127
DDQN,NA,NA,butterflies,0,5,"('avatar', 'butterfly')",93
DDQN,NA,NA,butterflies,0,5,"('butterfly', 'cocoon')",128
DDQN,NA,NA,butterflies,0,5,"('avatar', 'wall')",691
DDQN,NA,NA,butterflies,0,5,"('butterfly', 'wall')",4625
DDQN,NA,NA,butterflies,0,6,"('avatar', 'cocoon')",400
DDQN,NA,NA,butterflies,0,6,"('butterfly', 'butterfly')",4464
DDQN,NA,NA,butterflies,0,6,"('avatar', 'butterfly')",99
DDQN,NA,NA,butterflies,0,6,"('butterfly', 'cocoon')",152
DDQN,NA,NA,butterflies,0,6,"('avatar', 'wall')",718
DDQN,NA,NA,butterflies,0,6,"('butterfly', 'wall')",4948
DDQN,NA,NA,butterflies,0,7,"('avatar', 'cocoon')",444
DDQN,NA,NA,butterflies,0,7,"('butterfly', 'butterfly')",5033
DDQN,NA,NA,butterflies,0,7,"('avatar', 'butterfly')",115
DDQN,NA,NA,butterflies,0,7,"('butterfly', 'cocoon')",174
DDQN,NA,NA,butterflies,0,7,"('avatar', 'wall')",773
DDQN,NA,NA,butterflies,0,7,"('butterfly', 'wall')",5489
DDQN,NA,NA,butterflies,0,8,"('avatar', 'cocoon')",497
