agent_type,subject_ID,modelrun_ID,game_name,game_level,episode_number,event_name,count
DDQN,NA,NA,plaqueattack,0,0,"('deadMolarInf', 'fluor')",2
DDQN,NA,NA,plaqueattack,0,0,"('fluor', 'wall')",24
DDQN,NA,NA,plaqueattack,0,0,"('hotdog', 'wall')",20
DDQN,NA,NA,plaqueattack,0,0,"('fullMolarInf', 'hotdog')",5
DDQN,NA,NA,plaqueattack,0,0,"('avatar', 'wall')",4
DDQN,NA,NA,plaqueattack,0,0,"('hotdog', 'hotdog')",162
DDQN,NA,NA,plaqueattack,0,0,"('fluor', 'hotdog')",1
DDQN,NA,NA,plaqueattack,0,0,"('avatar', 'hotdog')",1
DDQN,NA,NA,plaqueattack,0,0,"('avatar', 'fullMolarInf')",14
DDQN,NA,NA,plaqueattack,0,0,"('hotdog', 'hotdoghole')",76
DDQN,NA,NA,plaqueattack,0,0,"('fluor', 'fullMolarInf')",6
DDQN,NA,NA,plaqueattack,0,1,"('deadMolarInf', 'fluor')",2
DDQN,NA,NA,plaqueattack,0,1,"('fluor', 'wall')",54
DDQN,NA,NA,plaqueattack,0,1,"('hotdog', 'wall')",42
DDQN,NA,NA,plaqueattack,0,1,"('fullMolarInf', 'hotdog')",9
DDQN,NA,NA,plaqueattack,0,1,"('deadMolarInf', 'hotdog')",19
DDQN,NA,NA,plaqueattack,0,1,"('avatar', 'wall')",22
DDQN,NA,NA,plaqueattack,0,1,"('hotdog', 'hotdog')",359
DDQN,NA,NA,plaqueattack,0,1,"('fluor', 'hotdog')",5
DDQN,NA,NA,plaqueattack,0,1,"('avatar', 'hotdog')",3
DDQN,NA,NA,plaqueattack,0,1,"('avatar', 'fullMolarInf')",27
DDQN,NA,NA,plaqueattack,0,1,"('hotdog', 'hotdoghole')",139
DDQN,NA,NA,plaqueattack,0,1,"('fluor', 'fullMolarInf')",26
DDQN,NA,NA,plaqueattack,0,2,"('deadMolarInf', 'fluor')",2
DDQN,NA,NA,plaqueattack,0,2,"('fluor', 'wall')",78
DDQN,NA,NA,plaqueattack,0,2,"('hotdog', 'wall')",68
DDQN,NA,NA,plaqueattack,0,2,"('fullMolarInf', 'hotdog')",14
DDQN,NA,NA,plaqueattack,0,2,"('deadMolarInf', 'hotdog')",26
DDQN,NA,NA,plaqueattack,0,2,"('avatar', 'wall')",27
DDQN,NA,NA,plaqueattack,0,2,"('hotdog', 'hotdog')",557
DDQN,NA,NA,plaqueattack,0,2,"('fluor', 'hotdog')",8
DDQN,NA,NA,plaqueattack,0,2,"('avatar', 'hotdog')",7
DDQN,NA,NA,plaqueattack,0,2,"('avatar', 'fullMolarInf')",35
DDQN,NA,NA,plaqueattack,0,2,"('hotdog', 'hotdoghole')",199
DDQN,NA,NA,plaqueattack,0,2,"('fluor', 'fullMolarInf')",31
DDQN,NA,NA,plaqueattack,0,3,"('deadMolarInf', 'fluor')",2
DDQN,NA,NA,plaqueattack,0,3,"('fluor', 'wall')",105
DDQN,NA,NA,plaqueattack,0,3,"('hotdog', 'wall')",80
DDQN,NA,NA,plaqueattack,0,3,"('fullMolarInf', 'hotdog')",18
DDQN,NA,NA,plaqueattack,0,3,"('deadMolarInf', 'hotdog')",26
DDQN,NA,NA,plaqueattack,0,3,"('fluor', 'hotdoghole')",3
DDQN,NA,NA,plaqueattack,0,3,"('avatar', 'wall')",31
DDQN,NA,NA,plaqueattack,0,3,"('hotdog', 'hotdog')",759
DDQN,NA,NA,plaqueattack,0,3,"('fluor', 'hotdog')",18
DDQN,NA,NA,plaqueattack,0,3,"('avatar', 'hotdog')",11
DDQN,NA,NA,plaqueattack,0,3,"('avatar', 'fullMolarInf')",41
DDQN,NA,NA,plaqueattack,0,3,"('hotdog', 'hotdoghole')",268
DDQN,NA,NA,plaqueattack,0,3,"('fluor', 'fullMolarInf')",39
DDQN,NA,NA,plaqueattack,0,4,"('deadMolarInf', 'fluor')",2
DDQN,NA,NA,plaqueattack,0,4,"('fluor', 'wall')",127
DDQN,NA,NA,plaqueattack,0,4,"('hotdog', 'wall')",105
DDQN,NA,NA,plaqueattack,0,4,"('fullMolarInf', 'hotdog')",22
DDQN,NA,NA,plaqueattack,0,4,"('deadMolarInf', 'hotdog')",36
DDQN,NA,NA,plaqueattack,0,4,"('fluor', 'hotdoghole')",3
DDQN,NA,NA,plaqueattack,0,4,"('avatar', 'wall')",41
DDQN,NA,NA,plaqueattack,0,4,"('hotdog', 'hotdog')",942
DDQN,NA,NA,plaqueattack,0,4,"('fluor', 'hotdog')",23
DDQN,NA,NA,plaqueattack,0,4,"('avatar', 'hotdog')",21
DDQN,NA,NA,plaqueattack,0,4,"('avatar', 'fullMolarInf')",41
DDQN,NA,NA,plaqueattack,0,4,"('hotdog', 'hotdoghole')",329
DDQN,NA,NA,plaqueattack,0,4,"('fluor', 'fullMolarInf')",39
DDQN,NA,NA,plaqueattack,0,5,"('deadMolarInf', 'fluor')",3
DDQN,NA,NA,plaqueattack,0,5,"('fluor', 'wall')",163
DDQN,NA,NA,plaqueattack,0,5,"('hotdog', 'wall')",128
DDQN,NA,NA,plaqueattack,0,5,"('fullMolarInf', 'hotdog')",27
DDQN,NA,NA,plaqueattack,0,5,"('deadMolarInf', 'hotdog')",76
DDQN,NA,NA,plaqueattack,0,5,"('fluor', 'hotdoghole')",3
DDQN,NA,NA,plaqueattack,0,5,"('avatar', 'wall')",58
DDQN,NA,NA,plaqueattack,0,5,"('hotdog', 'hotdog')",1158
DDQN,NA,NA,plaqueattack,0,5,"('fluor', 'hotdog')",29
DDQN,NA,NA,plaqueattack,0,5,"('avatar', 'hotdog')",24
DDQN,NA,NA,plaqueattack,0,5,"('avatar', 'fullMolarInf')",42
DDQN,NA,NA,plaqueattack,0,5,"('hotdog', 'hotdoghole')",423
DDQN,NA,NA,plaqueattack,0,5,"('fluor', 'fullMolarInf')",44
DDQN,NA,NA,plaqueattack,0,6,"('deadMolarInf', 'fluor')",3
DDQN,NA,NA,plaqueattack,0,6,"('fluor', 'wall')",199
DDQN,NA,NA,plaqueattack,0,6,"('hotdog', 'wall')",145
DDQN,NA,NA,plaqueattack,0,6,"('fullMolarInf', 'hotdog')",31
DDQN,NA,NA,plaqueattack,0,6,"('deadMolarInf', 'hotdog')",97
DDQN,NA,NA,plaqueattack,0,6,"('fluor', 'hotdoghole')",3
DDQN,NA,NA,plaqueattack,0,6,"('avatar', 'wall')",58
DDQN,NA,NA,plaqueattack,0,6,"('hotdog', 'hotdog')",1350
DDQN,NA,NA,plaqueattack,0,6,"('fluor', 'hotdog')",32
DDQN,NA,NA,plaqueattack,0,6,"('avatar', 'hotdog')",29
DDQN,NA,NA,plaqueattack,0,6,"('avatar', 'fullMolarInf')",42
DDQN,NA,NA,plaqueattack,0,6,"('hotdog', 'hotdoghole')",476
DDQN,NA,NA,plaqueattack,0,6,"('fluor', 'fullMolarInf')",44
DDQN,NA,NA,plaqueattack,0,7,"('deadMolarInf', 'fluor')",3
DDQN,NA,NA,plaqueattack,0,7,"('fluor', 'wall')",233
DDQN,NA,NA,plaqueattack,0,7,"('hotdog', 'wall')",161
DDQN,NA,NA,plaqueattack,0,7,"('fullMolarInf', 'hotdog')",36
DDQN,NA,NA,plaqueattack,0,7,"('deadMolarInf', 'hotdog')",97
DDQN,NA,NA,plaqueattack,0,7,"('fluor', 'hotdoghole')",3
DDQN,NA,NA,plaqueattack,0,7,"('avatar', 'wall')",59
DDQN,NA,NA,plaqueattack,0,7,"('hotdog', 'hotdog')",1534
DDQN,NA,NA,plaqueattack,0,7,"('fluor', 'hotdog')",37
DDQN,NA,NA,plaqueattack,0,7,"('avatar', 'hotdog')",38
DDQN,NA,NA,plaqueattack,0,7,"('avatar', 'fullMolarInf')",45
DDQN,NA,NA,plaqueattack,0,7,"('hotdog', 'hotdoghole')",588
DDQN,NA,NA,plaqueattack,0,7,"('fluor', 'fullMolarInf')",54
DDQN,NA,NA,plaqueattack,0,8,"('deadMolarInf', 'fluor')",3
DDQN,NA,NA,plaqueattack,0,8,"('fluor', 'wall')",260
DDQN,NA,NA,plaqueattack,0,8,"('hotdog', 'wall')",177
DDQN,NA,NA,plaqueattack,0,8,"('fullMolarInf', 'hotdog')",41
DDQN,NA,NA,plaqueattack,0,8,"('deadMolarInf', 'hotdog')",110
DDQN,NA,NA,plaqueattack,0,8,"('fluor', 'hotdoghole')",3
DDQN,NA,NA,plaqueattack,0,8,"('avatar', 'wall')",60
