agent_type,subject_ID,modelrun_ID,game_name,game_level,episode_number,event_name,count
DDQN,NA,NA,variant_expt_ee_3,0,0,"('avatar', 'wall')",800
DDQN,NA,NA,variant_expt_ee_3,0,1,"('avatar', 'wall')",608
DDQN,NA,NA,variant_expt_ee_3,0,2,"('avatar', 'wall')",806
DDQN,NA,NA,variant_expt_ee_3,0,3,"('avatar', 'wall')",860
DDQN,NA,NA,variant_expt_ee_3,0,4,"('avatar', 'wall')",267
DDQN,NA,NA,variant_expt_ee_3,0,5,"('avatar', 'wall')",411
DDQN,NA,NA,variant_expt_ee_3,0,6,"('avatar', 'wall')",1108
DDQN,NA,NA,variant_expt_ee_3,0,7,"('apple', 'avatar')",1
DDQN,NA,NA,variant_expt_ee_3,0,7,"('avatar', 'wall')",772
DDQN,NA,NA,variant_expt_ee_3,0,8,"('avatar', 'wall')",641
DDQN,NA,NA,variant_expt_ee_3,0,9,"('apple', 'avatar')",1
DDQN,NA,NA,variant_expt_ee_3,0,9,"('avatar', 'wall')",889
DDQN,NA,NA,variant_expt_ee_3,0,10,"('avatar', 'wall')",522
DDQN,NA,NA,variant_expt_ee_3,0,11,"('apple', 'avatar')",2
DDQN,NA,NA,variant_expt_ee_3,0,11,"('avatar', 'wall')",401
DDQN,NA,NA,variant_expt_ee_3,0,12,"('apple', 'avatar')",1
DDQN,NA,NA,variant_expt_ee_3,0,12,"('avatar', 'wall')",688
DDQN,NA,NA,variant_expt_ee_3,0,13,"('avatar', 'wall')",627
DDQN,NA,NA,variant_expt_ee_3,0,14,"('avatar', 'wall')",466
DDQN,NA,NA,variant_expt_ee_3,0,15,"('apple', 'avatar')",1
DDQN,NA,NA,variant_expt_ee_3,0,15,"('avatar', 'wall')",828
DDQN,NA,NA,variant_expt_ee_3,0,16,"('avatar', 'wall')",334
DDQN,NA,NA,variant_expt_ee_3,0,17,"('avatar', 'wall')",890
DDQN,NA,NA,variant_expt_ee_3,0,18,"('avatar', 'wall')",552
DDQN,NA,NA,variant_expt_ee_3,0,19,"('avatar', 'wall')",369
DDQN,NA,NA,variant_expt_ee_3,0,20,"('avatar', 'wall')",481
DDQN,NA,NA,variant_expt_ee_3,0,21,"('avatar', 'wall')",604
DDQN,NA,NA,variant_expt_ee_3,0,22,"('avatar', 'wall')",294
DDQN,NA,NA,variant_expt_ee_3,0,23,"('avatar', 'wall')",984
DDQN,NA,NA,variant_expt_ee_3,0,24,"('apple', 'avatar')",1
DDQN,NA,NA,variant_expt_ee_3,0,24,"('avatar', 'wall')",85
DDQN,NA,NA,variant_expt_ee_3,0,25,"('avatar', 'wall')",511
DDQN,NA,NA,variant_expt_ee_3,0,26,"('avatar', 'wall')",522
DDQN,NA,NA,variant_expt_ee_3,0,27,"('avatar', 'wall')",663
DDQN,NA,NA,variant_expt_ee_3,0,28,"('avatar', 'wall')",448
DDQN,NA,NA,variant_expt_ee_3,0,29,"('avatar', 'wall')",240
DDQN,NA,NA,variant_expt_ee_3,0,30,"('avatar', 'wall')",308
DDQN,NA,NA,variant_expt_ee_3,0,31,"('avatar', 'wall')",463
DDQN,NA,NA,variant_expt_ee_3,0,32,"('apple', 'avatar')",1
DDQN,NA,NA,variant_expt_ee_3,0,32,"('avatar', 'wall')",924
DDQN,NA,NA,variant_expt_ee_3,0,33,"('avatar', 'wall')",573
DDQN,NA,NA,variant_expt_ee_3,0,34,"('avatar', 'wall')",299
DDQN,NA,NA,variant_expt_ee_3,0,35,"('avatar', 'wall')",227
DDQN,NA,NA,variant_expt_ee_3,0,36,"('avatar', 'wall')",756
DDQN,NA,NA,variant_expt_ee_3,0,37,"('avatar', 'wall')",1147
DDQN,NA,NA,variant_expt_ee_3,0,38,"('apple', 'avatar')",1
DDQN,NA,NA,variant_expt_ee_3,0,38,"('avatar', 'wall')",1304
DDQN,NA,NA,variant_expt_ee_3,0,39,"('avatar', 'wall')",509
DDQN,NA,NA,variant_expt_ee_3,0,40,"('avatar', 'wall')",809
DDQN,NA,NA,variant_expt_ee_3,0,41,"('avatar', 'wall')",651
DDQN,NA,NA,variant_expt_ee_3,0,42,"('avatar', 'wall')",962
