agent_type,subject_ID,modelrun_ID,game_name,game_level,episode_number,event_name,count
DDQN,NA,NA,zelda,0,0,"('monsterNormal', 'wall')",24
DDQN,NA,NA,zelda,0,0,"('goal', 'monsterNormal')",4
DDQN,NA,NA,zelda,0,0,"('monsterNormal', 'monsterNormal')",4
DDQN,NA,NA,zelda,0,0,"('avatar', 'sword')",14
DDQN,NA,NA,zelda,0,0,"('avatar', 'wall')",38
DDQN,NA,NA,zelda,0,0,"('avatar', 'monsterNormal')",1
DDQN,NA,NA,zelda,0,0,"('sword', 'wall')",167
DDQN,NA,NA,zelda,0,0,"('monsterNormal', 'sword')",2
DDQN,NA,NA,zelda,0,1,"('monsterNormal', 'wall')",27
DDQN,NA,NA,zelda,0,1,"('goal', 'monsterNormal')",4
DDQN,NA,NA,zelda,0,1,"('monsterNormal', 'monsterNormal')",4
DDQN,NA,NA,zelda,0,1,"('avatar', 'sword')",14
DDQN,NA,NA,zelda,0,1,"('avatar', 'wall')",49
DDQN,NA,NA,zelda,0,1,"('avatar', 'monsterNormal')",2
DDQN,NA,NA,zelda,0,1,"('sword', 'wall')",188
DDQN,NA,NA,zelda,0,1,"('monsterNormal', 'sword')",2
DDQN,NA,NA,zelda,0,2,"('monsterNormal', 'wall')",32
DDQN,NA,NA,zelda,0,2,"('goal', 'monsterNormal')",4
DDQN,NA,NA,zelda,0,2,"('monsterNormal', 'monsterNormal')",4
DDQN,NA,NA,zelda,0,2,"('avatar', 'sword')",16
DDQN,NA,NA,zelda,0,2,"('avatar', 'wall')",65
DDQN,NA,NA,zelda,0,2,"('avatar', 'monsterNormal')",3
DDQN,NA,NA,zelda,0,2,"('sword', 'wall')",209
DDQN,NA,NA,zelda,0,2,"('monsterNormal', 'sword')",2
DDQN,NA,NA,zelda,0,3,"('monsterNormal', 'wall')",50
DDQN,NA,NA,zelda,0,3,"('goal', 'monsterNormal')",4
DDQN,NA,NA,zelda,0,3,"('monsterNormal', 'monsterNormal')",4
DDQN,NA,NA,zelda,0,3,"('avatar', 'sword')",21
DDQN,NA,NA,zelda,0,3,"('avatar', 'wall')",101
DDQN,NA,NA,zelda,0,3,"('avatar', 'monsterNormal')",4
DDQN,NA,NA,zelda,0,3,"('sword', 'wall')",287
DDQN,NA,NA,zelda,0,3,"('monsterNormal', 'sword')",3
DDQN,NA,NA,zelda,0,4,"('monsterNormal', 'wall')",56
DDQN,NA,NA,zelda,0,4,"('goal', 'monsterNormal')",4
DDQN,NA,NA,zelda,0,4,"('monsterNormal', 'monsterNormal')",4
DDQN,NA,NA,zelda,0,4,"('avatar', 'sword')",30
DDQN,NA,NA,zelda,0,4,"('avatar', 'wall')",105
DDQN,NA,NA,zelda,0,4,"('avatar', 'monsterNormal')",5
DDQN,NA,NA,zelda,0,4,"('sword', 'wall')",294
DDQN,NA,NA,zelda,0,4,"('monsterNormal', 'sword')",3
DDQN,NA,NA,zelda,0,5,"('monsterNormal', 'wall')",112
DDQN,NA,NA,zelda,0,5,"('goal', 'monsterNormal')",64
DDQN,NA,NA,zelda,0,5,"('monsterNormal', 'monsterNormal')",12
DDQN,NA,NA,zelda,0,5,"('avatar', 'sword')",55
DDQN,NA,NA,zelda,0,5,"('avatar', 'wall')",219
DDQN,NA,NA,zelda,0,5,"('avatar', 'monsterNormal')",6
DDQN,NA,NA,zelda,0,5,"('sword', 'wall')",588
DDQN,NA,NA,zelda,0,5,"('monsterNormal', 'sword')",3
DDQN,NA,NA,zelda,0,6,"('monsterNormal', 'wall')",115
DDQN,NA,NA,zelda,0,6,"('goal', 'monsterNormal')",68
DDQN,NA,NA,zelda,0,6,"('monsterNormal', 'monsterNormal')",12
DDQN,NA,NA,zelda,0,6,"('avatar', 'sword')",60
DDQN,NA,NA,zelda,0,6,"('avatar', 'wall')",221
DDQN,NA,NA,zelda,0,6,"('avatar', 'monsterNormal')",7
DDQN,NA,NA,zelda,0,6,"('sword', 'wall')",588
DDQN,NA,NA,zelda,0,6,"('monsterNormal', 'sword')",3
DDQN,NA,NA,zelda,0,7,"('monsterNormal', 'wall')",171
DDQN,NA,NA,zelda,0,7,"('goal', 'monsterNormal')",104
DDQN,NA,NA,zelda,0,7,"('monsterNormal', 'monsterNormal')",16
DDQN,NA,NA,zelda,0,7,"('avatar', 'sword')",70
DDQN,NA,NA,zelda,0,7,"('avatar', 'wall')",287
DDQN,NA,NA,zelda,0,7,"('avatar', 'monsterNormal')",8
DDQN,NA,NA,zelda,0,7,"('sword', 'wall')",735
DDQN,NA,NA,zelda,0,7,"('monsterNormal', 'sword')",3
DDQN,NA,NA,zelda,0,8,"('monsterNormal', 'wall')",176
DDQN,NA,NA,zelda,0,8,"('goal', 'monsterNormal')",104
DDQN,NA,NA,zelda,0,8,"('monsterNormal', 'monsterNormal')",16
DDQN,NA,NA,zelda,0,8,"('avatar', 'sword')",75
DDQN,NA,NA,zelda,0,8,"('avatar', 'wall')",294
DDQN,NA,NA,zelda,0,8,"('avatar', 'monsterNormal')",9
DDQN,NA,NA,zelda,0,8,"('sword', 'wall')",735
DDQN,NA,NA,zelda,0,8,"('monsterNormal', 'sword')",3
DDQN,NA,NA,zelda,0,9,"('monsterNormal', 'wall')",253
DDQN,NA,NA,zelda,0,9,"('goal', 'monsterNormal')",112
DDQN,NA,NA,zelda,0,9,"('monsterNormal', 'monsterNormal')",17
DDQN,NA,NA,zelda,0,9,"('avatar', 'sword')",137
DDQN,NA,NA,zelda,0,9,"('avatar', 'wall')",475
DDQN,NA,NA,zelda,0,9,"('avatar', 'key')",1
DDQN,NA,NA,zelda,0,9,"('avatar', 'monsterNormal')",10
DDQN,NA,NA,zelda,0,9,"('sword', 'wall')",1021
DDQN,NA,NA,zelda,0,9,"('monsterNormal', 'sword')",5
DDQN,NA,NA,zelda,0,10,"('monsterNormal', 'wall')",256
DDQN,NA,NA,zelda,0,10,"('goal', 'monsterNormal')",112
DDQN,NA,NA,zelda,0,10,"('monsterNormal', 'monsterNormal')",17
DDQN,NA,NA,zelda,0,10,"('avatar', 'sword')",144
DDQN,NA,NA,zelda,0,10,"('avatar', 'wall')",482
DDQN,NA,NA,zelda,0,10,"('avatar', 'key')",1
DDQN,NA,NA,zelda,0,10,"('avatar', 'monsterNormal')",11
DDQN,NA,NA,zelda,0,10,"('sword', 'wall')",1021
DDQN,NA,NA,zelda,0,10,"('monsterNormal', 'sword')",6
DDQN,NA,NA,zelda,0,11,"('monsterNormal', 'wall')",272
DDQN,NA,NA,zelda,0,11,"('key', 'monsterNormal')",1
DDQN,NA,NA,zelda,0,11,"('goal', 'monsterNormal')",112
DDQN,NA,NA,zelda,0,11,"('monsterNormal', 'monsterNormal')",17
DDQN,NA,NA,zelda,0,11,"('avatar', 'sword')",147
DDQN,NA,NA,zelda,0,11,"('avatar', 'wall')",497
DDQN,NA,NA,zelda,0,11,"('avatar', 'key')",1
DDQN,NA,NA,zelda,0,11,"('avatar', 'monsterNormal')",12
DDQN,NA,NA,zelda,0,11,"('sword', 'wall')",1074
DDQN,NA,NA,zelda,0,11,"('monsterNormal', 'sword')",7
DDQN,NA,NA,zelda,0,12,"('monsterNormal', 'wall')",276
DDQN,NA,NA,zelda,0,12,"('key', 'monsterNormal')",1
DDQN,NA,NA,zelda,0,12,"('goal', 'monsterNormal')",112
DDQN,NA,NA,zelda,0,12,"('monsterNormal', 'monsterNormal')",17
DDQN,NA,NA,zelda,0,12,"('avatar', 'sword')",149
DDQN,NA,NA,zelda,0,12,"('avatar', 'wall')",512
DDQN,NA,NA,zelda,0,12,"('avatar', 'key')",1
DDQN,NA,NA,zelda,0,12,"('avatar', 'monsterNormal')",13
DDQN,NA,NA,zelda,0,12,"('sword', 'wall')",1104
DDQN,NA,NA,zelda,0,12,"('monsterNormal', 'sword')",7
DDQN,NA,NA,zelda,0,13,"('monsterNormal', 'wall')",282
DDQN,NA,NA,zelda,0,13,"('key', 'monsterNormal')",1
DDQN,NA,NA,zelda,0,13,"('goal', 'monsterNormal')",112
DDQN,NA,NA,zelda,0,13,"('monsterNormal', 'monsterNormal')",17
DDQN,NA,NA,zelda,0,13,"('avatar', 'sword')",150
DDQN,NA,NA,zelda,0,13,"('avatar', 'wall')",524
DDQN,NA,NA,zelda,0,13,"('avatar', 'key')",1
DDQN,NA,NA,zelda,0,13,"('avatar', 'monsterNormal')",14
DDQN,NA,NA,zelda,0,13,"('sword', 'wall')",1143
DDQN,NA,NA,zelda,0,13,"('monsterNormal', 'sword')",7
DDQN,NA,NA,zelda,0,14,"('monsterNormal', 'wall')",306
DDQN,NA,NA,zelda,0,14,"('key', 'monsterNormal')",1
DDQN,NA,NA,zelda,0,14,"('goal', 'monsterNormal')",112
DDQN,NA,NA,zelda,0,14,"('monsterNormal', 'monsterNormal')",20
DDQN,NA,NA,zelda,0,14,"('avatar', 'sword')",157
DDQN,NA,NA,zelda,0,14,"('avatar', 'wall')",583
DDQN,NA,NA,zelda,0,14,"('avatar', 'key')",1
DDQN,NA,NA,zelda,0,14,"('avatar', 'monsterNormal')",15
DDQN,NA,NA,zelda,0,14,"('sword', 'wall')",1259
DDQN,NA,NA,zelda,0,14,"('monsterNormal', 'sword')",7
DDQN,NA,NA,zelda,0,15,"('monsterNormal', 'wall')",316
DDQN,NA,NA,zelda,0,15,"('key', 'monsterNormal')",1
DDQN,NA,NA,zelda,0,15,"('goal', 'monsterNormal')",112
DDQN,NA,NA,zelda,0,15,"('monsterNormal', 'monsterNormal')",20
DDQN,NA,NA,zelda,0,15,"('avatar', 'sword')",157
DDQN,NA,NA,zelda,0,15,"('avatar', 'wall')",600
DDQN,NA,NA,zelda,0,15,"('avatar', 'key')",1
DDQN,NA,NA,zelda,0,15,"('avatar', 'monsterNormal')",16
DDQN,NA,NA,zelda,0,15,"('sword', 'wall')",1288
DDQN,NA,NA,zelda,0,15,"('monsterNormal', 'sword')",7
DDQN,NA,NA,zelda,0,16,"('monsterNormal', 'wall')",325
DDQN,NA,NA,zelda,0,16,"('key', 'monsterNormal')",1
DDQN,NA,NA,zelda,0,16,"('goal', 'monsterNormal')",112
DDQN,NA,NA,zelda,0,16,"('monsterNormal', 'monsterNormal')",21
DDQN,NA,NA,zelda,0,16,"('avatar', 'sword')",160
DDQN,NA,NA,zelda,0,16,"('avatar', 'wall')",621
DDQN,NA,NA,zelda,0,16,"('avatar', 'key')",1
DDQN,NA,NA,zelda,0,16,"('avatar', 'monsterNormal')",17
