level,steps,ep_reward,win,game_name,criteria
0,890,45,False,variant_butterflies_1,1
0,2332,59,True,variant_butterflies_1,1
1,2523,17,False,variant_butterflies_1,1
1,2679,7,False,variant_butterflies_1,1
1,2805,9,False,variant_butterflies_1,1
1,3116,11,False,variant_butterflies_1,1
1,3323,11,False,variant_butterflies_1,1
1,3420,7,False,variant_butterflies_1,1
1,3733,11,False,variant_butterflies_1,1
1,3873,9,False,variant_butterflies_1,1
1,4069,11,False,variant_butterflies_1,1
1,4236,15,False,variant_butterflies_1,1
1,4458,17,False,variant_butterflies_1,1
1,5051,29,True,variant_butterflies_1,1
2,5908,19,False,variant_butterflies_1,1
2,7487,37,False,variant_butterflies_1,1
2,7726,5,False,variant_butterflies_1,1
2,7878,1,False,variant_butterflies_1,1
2,8564,33,False,variant_butterflies_1,1
2,8667,3,False,variant_butterflies_1,1
2,9306,13,False,variant_butterflies_1,1
2,9629,15,False,variant_butterflies_1,1
2,10336,11,False,variant_butterflies_1,1
2,11488,47,False,variant_butterflies_1,1
2,12948,39,False,variant_butterflies_1,1
2,13206,3,False,variant_butterflies_1,1
2,14021,17,False,variant_butterflies_1,1
2,14543,23,False,variant_butterflies_1,1
2,14714,3,False,variant_butterflies_1,1
2,15271,27,False,variant_butterflies_1,1
2,15743,11,False,variant_butterflies_1,1
2,16288,31,False,variant_butterflies_1,1
2,16552,9,False,variant_butterflies_1,1
2,16925,27,False,variant_butterflies_1,1
2,17545,51,False,variant_butterflies_1,1
2,17987,9,False,variant_butterflies_1,1
2,19065,51,True,variant_butterflies_1,1
3,19369,21,True,variant_butterflies_1,1
4,19860,13,True,variant_butterflies_1,1
