level,steps,ep_reward,win,game_name,criteria
0,132,-1,False,variant_jaws_2,1
0,207,2,False,variant_jaws_2,1
0,445,3,False,variant_jaws_2,1
0,549,4,False,variant_jaws_2,1
0,897,6,False,variant_jaws_2,1
0,991,1,False,variant_jaws_2,1
0,1056,-1,False,variant_jaws_2,1
0,1141,0,False,variant_jaws_2,1
0,1224,0,False,variant_jaws_2,1
0,1327,-1,False,variant_jaws_2,1
0,1415,-1,False,variant_jaws_2,1
0,1583,2,False,variant_jaws_2,1
0,1732,-1,False,variant_jaws_2,1
0,1791,-1,False,variant_jaws_2,1
0,1930,1,False,variant_jaws_2,1
0,2111,3,False,variant_jaws_2,1
0,2214,0,False,variant_jaws_2,1
0,2333,-1,False,variant_jaws_2,1
0,2432,0,False,variant_jaws_2,1
0,2567,1,False,variant_jaws_2,1
0,2722,-1,False,variant_jaws_2,1
0,2790,-1,False,variant_jaws_2,1
0,2906,0,False,variant_jaws_2,1
0,3033,0,False,variant_jaws_2,1
0,3171,0,False,variant_jaws_2,1
0,3301,-1,False,variant_jaws_2,1
0,3632,5,False,variant_jaws_2,1
0,3690,-1,False,variant_jaws_2,1
0,3739,0,False,variant_jaws_2,1
0,3795,1,False,variant_jaws_2,1
0,3902,-1,False,variant_jaws_2,1
0,3980,-1,False,variant_jaws_2,1
0,4120,0,False,variant_jaws_2,1
0,4158,-1,False,variant_jaws_2,1
0,4264,0,False,variant_jaws_2,1
0,4328,-1,False,variant_jaws_2,1
0,4407,-1,False,variant_jaws_2,1
0,4601,4,False,variant_jaws_2,1
0,4708,0,False,variant_jaws_2,1
0,4793,0,False,variant_jaws_2,1
0,4886,0,False,variant_jaws_2,1
0,5021,1,False,variant_jaws_2,1
0,5172,1,False,variant_jaws_2,1
0,5210,-1,False,variant_jaws_2,1
0,5311,-1,False,variant_jaws_2,1
0,5512,0,False,variant_jaws_2,1
0,5600,-1,False,variant_jaws_2,1
0,5682,1,False,variant_jaws_2,1
0,5754,1,False,variant_jaws_2,1
0,5887,-1,False,variant_jaws_2,1
0,5995,-1,False,variant_jaws_2,1
0,6095,0,False,variant_jaws_2,1
0,6174,-1,False,variant_jaws_2,1
0,6318,3,False,variant_jaws_2,1
0,6371,-1,False,variant_jaws_2,1
0,6498,1,False,variant_jaws_2,1
0,6617,-1,False,variant_jaws_2,1
0,6653,-1,False,variant_jaws_2,1
0,6735,1,False,variant_jaws_2,1
0,6979,7,False,variant_jaws_2,1
