level,steps,ep_reward,win,game_name,criteria
0,33,2,True,bait,1
1,49,-1,False,bait,1
1,118,-1,False,bait,1
1,235,-1,False,bait,1
1,267,-1,False,bait,1
1,276,-1,False,bait,1
1,279,-1,False,bait,1
1,300,-1,False,bait,1
1,316,-1,False,bait,1
1,331,-1,False,bait,1
1,963,-1,False,bait,1
1,1064,-1,False,bait,1
1,1082,-1,False,bait,1
1,1093,-1,False,bait,1
1,1144,-1,False,bait,1
1,1184,-1,False,bait,1
1,1194,-1,False,bait,1
1,1241,-1,False,bait,1
1,1412,0,False,bait,1
1,1512,-1,False,bait,1
1,1546,-1,False,bait,1
1,1557,-1,False,bait,1
1,1582,-1,False,bait,1
1,1619,-1,False,bait,1
1,1625,-1,False,bait,1
1,1677,-1,False,bait,1
1,1903,-1,False,bait,1
1,2100,-1,False,bait,1
1,2173,-1,False,bait,1
1,2680,-1,False,bait,1
1,2699,-1,False,bait,1
1,2815,-1,False,bait,1
1,2834,-1,False,bait,1
1,3370,-1,False,bait,1
1,3478,-1,False,bait,1
1,3501,-1,False,bait,1
1,3523,-1,False,bait,1
1,3546,-1,False,bait,1
1,3675,-1,False,bait,1
1,3771,-1,False,bait,1
1,3801,-1,False,bait,1
1,3809,-1,False,bait,1
1,3983,-1,False,bait,1
1,4012,-1,False,bait,1
1,4161,-1,False,bait,1
1,4177,-1,False,bait,1
1,4222,-1,False,bait,1
1,4225,-1,False,bait,1
1,4317,-1,False,bait,1
1,4419,-1,False,bait,1
1,4450,-1,False,bait,1
1,4458,-1,False,bait,1
1,4462,-1,False,bait,1
1,4480,-1,False,bait,1
1,4735,-1,False,bait,1
1,4758,-1,False,bait,1
1,4904,-1,False,bait,1
1,4953,-1,False,bait,1
1,5020,-1,False,bait,1
1,5092,-1,False,bait,1
1,5159,-1,False,bait,1
1,5222,-1,False,bait,1
1,5284,-1,False,bait,1
1,5631,-1,False,bait,1
1,5638,-1,False,bait,1
1,5666,-1,False,bait,1
1,5676,-1,False,bait,1
1,5696,-1,False,bait,1
1,5770,-1,False,bait,1
1,5898,-1,False,bait,1
1,5966,-1,False,bait,1
1,5973,-1,False,bait,1
1,6017,-1,False,bait,1
1,6030,-1,False,bait,1
1,6062,-1,False,bait,1
1,6070,-1,False,bait,1
1,6074,-1,False,bait,1
1,6155,-1,False,bait,1
1,6172,-1,False,bait,1
1,6392,-1,False,bait,1
1,6567,-1,False,bait,1
1,6629,-1,False,bait,1
1,6813,-1,False,bait,1
1,7057,-1,False,bait,1
1,7186,-1,False,bait,1
1,7211,-1,False,bait,1
1,7244,-1,False,bait,1
1,7318,-1,False,bait,1
1,7548,-1,False,bait,1
1,7572,-1,False,bait,1
1,7609,-1,False,bait,1
1,7700,-1,False,bait,1
1,7736,-1,False,bait,1
1,7789,-1,False,bait,1
1,7810,-1,False,bait,1
1,8056,-1,False,bait,1
1,8182,-1,False,bait,1
1,8238,-1,False,bait,1
1,8245,-1,False,bait,1
1,8254,-1,False,bait,1
1,8280,-1,False,bait,1
1,8283,-1,False,bait,1
1,8397,-1,False,bait,1
1,8418,-1,False,bait,1
1,8444,-1,False,bait,1
1,8843,-1,False,bait,1
1,8852,-1,False,bait,1
1,8871,-1,False,bait,1
1,8897,-1,False,bait,1
1,8906,-1,False,bait,1
1,9916,0,False,bait,1
1,10026,-1,False,bait,1
1,10136,-1,False,bait,1
1,10143,-1,False,bait,1
1,10158,-1,False,bait,1
1,10205,-1,False,bait,1
1,10491,-1,False,bait,1
1,10494,-1,False,bait,1
1,10508,-1,False,bait,1
1,11104,-1,False,bait,1
1,11107,-1,False,bait,1
1,11446,-1,False,bait,1
1,11663,-1,False,bait,1
1,11722,-1,False,bait,1
1,11729,-1,False,bait,1
1,11847,-1,False,bait,1
1,11850,-1,False,bait,1
1,11859,-1,False,bait,1
1,11962,-1,False,bait,1
1,12042,-1,False,bait,1
1,12057,-1,False,bait,1
1,12069,-1,False,bait,1
1,12077,-1,False,bait,1
1,12291,-1,False,bait,1
1,12330,-1,False,bait,1
1,12344,-1,False,bait,1
1,12361,-1,False,bait,1
1,12510,-1,False,bait,1
1,12522,-1,False,bait,1
1,12572,-1,False,bait,1
1,12599,-1,False,bait,1
1,12626,-1,False,bait,1
1,12696,-1,False,bait,1
1,13141,-1,False,bait,1
1,13354,-1,False,bait,1
1,13605,-1,False,bait,1
1,13610,-1,False,bait,1
1,13712,-1,False,bait,1
1,13747,-1,False,bait,1
1,13773,-1,False,bait,1
1,14078,-1,False,bait,1
1,14148,-1,False,bait,1
1,14508,-1,False,bait,1
1,14570,-1,False,bait,1
1,14643,-1,False,bait,1
1,14800,-1,False,bait,1
1,14917,-1,False,bait,1
1,15022,-1,False,bait,1
1,15036,-1,False,bait,1
1,15411,-1,False,bait,1
1,15432,-1,False,bait,1
1,15741,-1,False,bait,1
1,15788,-1,False,bait,1
1,16068,-1,False,bait,1
1,16129,-1,False,bait,1
1,16372,-1,False,bait,1
1,16398,-1,False,bait,1
1,16657,-1,False,bait,1
1,16714,-1,False,bait,1
1,16730,-1,False,bait,1
1,16739,-1,False,bait,1
1,16748,-1,False,bait,1
1,16756,-1,False,bait,1
1,16777,-1,False,bait,1
1,17152,-1,False,bait,1
1,17203,-1,False,bait,1
1,17207,-1,False,bait,1
1,17334,-1,False,bait,1
1,17340,-1,False,bait,1
1,17353,-1,False,bait,1
1,17500,-1,False,bait,1
1,17734,-1,False,bait,1
1,17757,-1,False,bait,1
1,17780,-1,False,bait,1
1,17825,-1,False,bait,1
1,17828,-1,False,bait,1
1,17872,-1,False,bait,1
1,17886,-1,False,bait,1
1,17934,-1,False,bait,1
1,18137,-1,False,bait,1
1,18152,-1,False,bait,1
1,18536,-1,False,bait,1
1,18746,-1,False,bait,1
1,18760,-1,False,bait,1
1,18764,-1,False,bait,1
1,18766,-1,False,bait,1
1,19182,-1,False,bait,1
1,19368,-1,False,bait,1
1,19389,-1,False,bait,1
1,19516,-1,False,bait,1
1,19611,-1,False,bait,1
1,19788,-1,False,bait,1
1,19793,-1,False,bait,1
1,20099,-1,False,bait,1
1,20162,-1,False,bait,1
1,20175,-1,False,bait,1
1,20413,-1,False,bait,1
1,20480,-1,False,bait,1
1,20579,-1,False,bait,1
1,20586,-1,False,bait,1
1,20652,-1,False,bait,1
1,20727,-1,False,bait,1
1,21073,-1,False,bait,1
1,21095,-1,False,bait,1
1,21102,-1,False,bait,1
1,21312,-1,False,bait,1
1,21425,-1,False,bait,1
1,21428,-1,False,bait,1
1,21701,-1,False,bait,1
1,21724,-1,False,bait,1
1,21739,-1,False,bait,1
1,21742,-1,False,bait,1
1,22045,-1,False,bait,1
1,22094,-1,False,bait,1
1,22111,-1,False,bait,1
1,22569,-1,False,bait,1
1,22765,-1,False,bait,1
1,22767,-1,False,bait,1
1,22776,-1,False,bait,1
1,22832,-1,False,bait,1
1,22873,-1,False,bait,1
1,22917,-1,False,bait,1
1,22932,-1,False,bait,1
1,22946,-1,False,bait,1
1,22948,-1,False,bait,1
