level,steps,ep_reward,win,game_name,criteria
0,1998,-1,False,variant_expt_ee_3,1
0,2675,1,True,variant_expt_ee_3,1
1,2747,-1,False,variant_expt_ee_3,1
1,2772,-1,False,variant_expt_ee_3,1
1,2921,-1,False,variant_expt_ee_3,1
1,3240,-1,False,variant_expt_ee_3,1
1,3271,-1,False,variant_expt_ee_3,1
1,3747,1,True,variant_expt_ee_3,1
2,4625,1,True,variant_expt_ee_3,1
3,5946,1,True,variant_expt_ee_3,1
4,7488,1,True,variant_expt_ee_3,1
5,7500,-1,False,variant_expt_ee_3,1
5,7545,-1,False,variant_expt_ee_3,1
5,7764,-1,False,variant_expt_ee_3,1
5,7886,-1,False,variant_expt_ee_3,1
5,7980,-1,False,variant_expt_ee_3,1
5,8135,-1,False,variant_expt_ee_3,1
5,8232,-1,False,variant_expt_ee_3,1
5,8442,-1,False,variant_expt_ee_3,1
5,8650,-1,False,variant_expt_ee_3,1
5,8726,-1,False,variant_expt_ee_3,1
5,8830,-1,False,variant_expt_ee_3,1
5,8868,-1,False,variant_expt_ee_3,1
5,8901,-1,False,variant_expt_ee_3,1
5,8990,1,True,variant_expt_ee_3,1
