level,steps,ep_reward,win,game_name,criteria
0,272,16,False,aliens,1
0,966,57,True,aliens,1
1,1089,12,False,aliens,1
1,1860,58,True,aliens,1
2,2133,22,False,aliens,1
2,2308,16,False,aliens,1
2,2945,48,False,aliens,1
2,3146,15,False,aliens,1
2,3641,45,False,aliens,1
2,3727,8,False,aliens,1
2,4129,37,False,aliens,1
2,4795,48,False,aliens,1
2,4971,14,False,aliens,1
2,5106,13,False,aliens,1
2,5425,26,False,aliens,1
2,5563,13,False,aliens,1
2,5971,35,False,aliens,1
2,6395,44,False,aliens,1
2,6697,28,False,aliens,1
2,7068,26,False,aliens,1
2,7199,10,False,aliens,1
2,8135,53,True,aliens,1
3,8412,23,False,aliens,1
3,8576,9,False,aliens,1
3,8730,5,False,aliens,1
3,8940,9,False,aliens,1
3,9085,1,False,aliens,1
3,9934,39,True,aliens,1
4,10244,29,False,aliens,1
4,10487,21,False,aliens,1
4,10631,8,False,aliens,1
4,10797,10,False,aliens,1
4,10948,12,False,aliens,1
4,11216,14,False,aliens,1
4,11269,5,False,aliens,1
4,11439,14,False,aliens,1
4,11683,17,False,aliens,1
4,11920,17,False,aliens,1
4,12133,12,False,aliens,1
4,12215,5,False,aliens,1
4,12428,15,False,aliens,1
4,12572,13,False,aliens,1
4,12829,17,False,aliens,1
4,13069,17,False,aliens,1
4,13399,26,False,aliens,1
4,13600,16,False,aliens,1
4,13715,12,False,aliens,1
4,13982,19,False,aliens,1
4,14210,30,False,aliens,1
4,14768,39,False,aliens,1
4,15028,24,False,aliens,1
4,15149,9,False,aliens,1
4,15485,35,False,aliens,1
4,15627,11,False,aliens,1
4,15944,25,False,aliens,1
4,16274,33,False,aliens,1
