level,steps,ep_reward,win,game_name,criteria
0,50,1,False,variant_missilecommand_2,1
0,65,-1,False,variant_missilecommand_2,1
0,98,-1,False,variant_missilecommand_2,1
0,121,-1,False,variant_missilecommand_2,1
0,136,-1,False,variant_missilecommand_2,1
0,216,7,True,variant_missilecommand_2,1
1,234,1,False,variant_missilecommand_2,1
1,271,3,False,variant_missilecommand_2,1
1,291,-1,False,variant_missilecommand_2,1
1,364,-1,False,variant_missilecommand_2,1
1,375,-1,False,variant_missilecommand_2,1
1,443,7,False,variant_missilecommand_2,1
1,495,1,False,variant_missilecommand_2,1
1,522,1,False,variant_missilecommand_2,1
1,558,1,False,variant_missilecommand_2,1
1,614,5,False,variant_missilecommand_2,1
1,647,1,False,variant_missilecommand_2,1
1,683,-1,False,variant_missilecommand_2,1
1,757,9,False,variant_missilecommand_2,1
1,776,1,False,variant_missilecommand_2,1
1,796,1,False,variant_missilecommand_2,1
1,835,1,False,variant_missilecommand_2,1
1,852,-1,False,variant_missilecommand_2,1
1,864,1,False,variant_missilecommand_2,1
1,900,1,False,variant_missilecommand_2,1
1,927,1,False,variant_missilecommand_2,1
1,973,3,False,variant_missilecommand_2,1
1,996,1,False,variant_missilecommand_2,1
1,1038,1,False,variant_missilecommand_2,1
1,1101,5,False,variant_missilecommand_2,1
1,1203,11,False,variant_missilecommand_2,1
1,1256,3,False,variant_missilecommand_2,1
1,1299,5,False,variant_missilecommand_2,1
1,1392,5,False,variant_missilecommand_2,1
1,1525,6,False,variant_missilecommand_2,1
1,1588,-1,False,variant_missilecommand_2,1
1,1614,-1,False,variant_missilecommand_2,1
1,1688,13,True,variant_missilecommand_2,1
2,1725,-1,False,variant_missilecommand_2,1
2,1739,-1,False,variant_missilecommand_2,1
2,1807,0,False,variant_missilecommand_2,1
2,1884,0,False,variant_missilecommand_2,1
2,1930,3,False,variant_missilecommand_2,1
2,1956,-1,False,variant_missilecommand_2,1
2,1999,1,False,variant_missilecommand_2,1
2,2130,2,False,variant_missilecommand_2,1
2,2167,1,False,variant_missilecommand_2,1
2,2190,-1,False,variant_missilecommand_2,1
2,2215,-1,False,variant_missilecommand_2,1
2,2274,5,False,variant_missilecommand_2,1
2,2332,4,True,variant_missilecommand_2,1
3,2369,1,False,variant_missilecommand_2,1
3,2395,1,False,variant_missilecommand_2,1
3,2451,5,False,variant_missilecommand_2,1
3,2465,-1,False,variant_missilecommand_2,1
3,2505,1,False,variant_missilecommand_2,1
3,2576,2,False,variant_missilecommand_2,1
3,2599,1,False,variant_missilecommand_2,1
3,2626,1,False,variant_missilecommand_2,1
3,2650,-1,False,variant_missilecommand_2,1
3,2685,1,False,variant_missilecommand_2,1
3,2724,1,False,variant_missilecommand_2,1
3,2746,-1,False,variant_missilecommand_2,1
3,2773,1,False,variant_missilecommand_2,1
3,2791,-1,False,variant_missilecommand_2,1
3,2846,7,True,variant_missilecommand_2,1
4,2855,-1,False,variant_missilecommand_2,1
4,2900,5,False,variant_missilecommand_2,1
4,2940,1,False,variant_missilecommand_2,1
4,2988,3,False,variant_missilecommand_2,1
4,3030,3,False,variant_missilecommand_2,1
4,3095,11,False,variant_missilecommand_2,1
4,3143,3,False,variant_missilecommand_2,1
4,3171,3,False,variant_missilecommand_2,1
4,3218,1,False,variant_missilecommand_2,1
4,3274,3,False,variant_missilecommand_2,1
4,3319,5,False,variant_missilecommand_2,1
4,3350,1,False,variant_missilecommand_2,1
4,3399,5,False,variant_missilecommand_2,1
4,3436,-1,False,variant_missilecommand_2,1
4,3453,-1,False,variant_missilecommand_2,1
4,3494,7,False,variant_missilecommand_2,1
4,3510,-1,False,variant_missilecommand_2,1
4,3537,3,False,variant_missilecommand_2,1
4,3643,9,False,variant_missilecommand_2,1
4,3660,-1,False,variant_missilecommand_2,1
4,3723,9,False,variant_missilecommand_2,1
4,3762,3,False,variant_missilecommand_2,1
4,3844,3,False,variant_missilecommand_2,1
4,3891,7,False,variant_missilecommand_2,1
4,3901,-1,False,variant_missilecommand_2,1
4,3913,-1,False,variant_missilecommand_2,1
4,3951,1,False,variant_missilecommand_2,1
4,3972,1,False,variant_missilecommand_2,1
4,3983,-1,False,variant_missilecommand_2,1
4,4009,3,False,variant_missilecommand_2,1
4,4035,1,False,variant_missilecommand_2,1
4,4061,-1,False,variant_missilecommand_2,1
4,4105,3,False,variant_missilecommand_2,1
4,4127,-1,False,variant_missilecommand_2,1
4,4181,5,False,variant_missilecommand_2,1
4,4259,11,False,variant_missilecommand_2,1
4,4283,-1,False,variant_missilecommand_2,1
4,4314,-1,False,variant_missilecommand_2,1
4,4326,-1,False,variant_missilecommand_2,1
4,4360,1,False,variant_missilecommand_2,1
4,4371,-1,False,variant_missilecommand_2,1
4,4481,9,False,variant_missilecommand_2,1
4,4511,-1,False,variant_missilecommand_2,1
4,4596,5,False,variant_missilecommand_2,1
4,4634,3,False,variant_missilecommand_2,1
4,4682,5,False,variant_missilecommand_2,1
4,4702,-1,False,variant_missilecommand_2,1
4,4770,13,False,variant_missilecommand_2,1
4,4825,7,False,variant_missilecommand_2,1
4,4860,1,False,variant_missilecommand_2,1
4,4885,-1,False,variant_missilecommand_2,1
4,4957,15,True,variant_missilecommand_2,1
