level,steps,ep_reward,win,game_name,criteria
0,124,-1,False,zelda,1
0,286,-1,False,zelda,1
0,369,-1,False,zelda,1
0,613,-1,False,zelda,1
0,735,-1,False,zelda,1
0,2733,5,False,zelda,1
0,2944,-1,False,zelda,1
0,2997,-1,False,zelda,1
0,3047,-1,False,zelda,1
0,3101,-1,False,zelda,1
0,3289,0,False,zelda,1
0,3472,3,False,zelda,1
0,3672,1,False,zelda,1
0,3695,-1,False,zelda,1
0,3799,-1,False,zelda,1
0,4099,-1,False,zelda,1
0,4197,-1,False,zelda,1
0,4288,-1,False,zelda,1
0,4374,1,False,zelda,1
0,4620,-1,False,zelda,1
0,4688,1,False,zelda,1
0,4794,-1,False,zelda,1
0,4876,-1,False,zelda,1
0,5041,-1,False,zelda,1
0,5352,2,False,zelda,1
0,5450,0,False,zelda,1
0,5533,-1,False,zelda,1
0,5595,-1,False,zelda,1
0,5718,-1,False,zelda,1
0,5784,-1,False,zelda,1
0,5953,-1,False,zelda,1
0,5995,-1,False,zelda,1
0,6063,-1,False,zelda,1
0,6147,-1,False,zelda,1
0,6368,-1,False,zelda,1
0,6452,-1,False,zelda,1
0,6540,-1,False,zelda,1
0,6652,-1,False,zelda,1
0,6667,-1,False,zelda,1
0,6721,-1,False,zelda,1
0,6768,-1,False,zelda,1
0,6818,-1,False,zelda,1
0,7376,0,False,zelda,1
0,7555,-1,False,zelda,1
0,7793,1,False,zelda,1
0,7817,-1,False,zelda,1
0,7933,-1,False,zelda,1
0,7995,-1,False,zelda,1
0,9163,3,False,zelda,1
0,9355,-1,False,zelda,1
0,9749,1,False,zelda,1
0,9780,-1,False,zelda,1
0,10018,-1,False,zelda,1
0,10061,1,False,zelda,1
0,10547,0,False,zelda,1
0,10685,-1,False,zelda,1
0,10831,-1,False,zelda,1
0,10865,-1,False,zelda,1
0,10983,-1,False,zelda,1
0,11071,-1,False,zelda,1
0,11275,-1,False,zelda,1
0,11378,-1,False,zelda,1
0,11502,-1,False,zelda,1
0,11533,-1,False,zelda,1
0,11708,1,False,zelda,1
0,11831,-1,False,zelda,1
0,11965,-1,False,zelda,1
0,12116,0,False,zelda,1
0,12313,-1,False,zelda,1
0,12375,-1,False,zelda,1
0,12447,-1,False,zelda,1
0,12555,-1,False,zelda,1
0,12761,-1,False,zelda,1
0,13006,1,False,zelda,1
0,13232,1,False,zelda,1
0,13386,-1,False,zelda,1
0,13459,-1,False,zelda,1
0,13566,-1,False,zelda,1
